Banglish,Hate
majar pujari shalake sobai dhore garo bhenge deya uchit,hate
bhondo taheri kuttar bacchake dhore matha kamiye kala kuttar paykhana mekhe dao llangta kore pachay alokatora mekhe dao,hate
khobiser bacha,hate
khanki magire kutta diye chuudamu,hate
sala magir put deoyan bagi,hate
sothik kota hok kota bolle salader sorire gaye agun jole lal panojabi ola salara ganoja khur,hate
tahiri khangkir pola er jolomo nasotiker barito,hate
bhai shala orijinal e kuttar baccha,hate
tor bon mare loyo bhidio kor bayanochoder baccha,hate
sala youtubr channel kukur baccha mittha kotha ken bolle sala,hate
ei salar po haphijur rohoman hujurer chhobi vondoder sathe milaichho keno,hate
jutadiya mar shalare,hate
salare kache paile juta marmu kutar bacha,hate
taheri chagoler tin number baccha,hate
taheri magir pulare ami paile poriskarbhabe duye pelobo,hate
shala ibolisher khaloto bhai bhondo shoytan egulor upor allahor gjob pore na ken,hate
tor morg chorer maire chudi,hate
sala prati kobe theke shuru korlo taheri,hate
mugi chuda a magike chuda doka,hate
jei magir bacchhara ere ane taderke kuttapita deya uchit,hate
tor ma re boinere potitaloye diye taka kama haramzada,hate
shuyerer baccha khobish bondo number deo keu or shalake silet aniya emon badam dibo oyaj kora shikhaiya dibo,hate
bhai ei madarchuder karne aramobag thaka jayo na,hate
hitarar mar hedar onushthan,hate
deoyanobagir muridora paglotader kichhu bojhano jabe naek allahui pare take dhongsho korte,hate
shalar put arek betar gibot na geye betar sathe giye bahas kor tor baper beta hole taheri hujur ekjon muphoti ar tui ki ar abbasi hujurke bolcho bondo shala tui bondo kotakaner picchi,hate
nastik asiph mohiuddin kaphir nijer strike ulonggo kore prithibike dekhiyechhe ei bhidio dekhe sobai bujholen je nastik asiph mohiuddin kaphir shukor choritrer purush nastikra bybichari,hate
ei ohabir baccha tahiri tor bap,hate
ture paile juta diya bairamu tui kare ki bolochhot tui jaroj sontan,hate
nopa magir hasi dekhe mone holo je koto chheler dhon chetechhe jonmr dik nei nopa potita,hate
jara bhondo bolobe haphijur rohoman ke tara sei kutta bagir murid,hate
deoyan bagir putki diye gorom dim deya dorkar,hate
halar pachayo boirade,hate
chodanir jato,hate
murgi chora shahoriyar kobir ei kuttare desh theke lathi mere ber kore deya uchit amar mone hoyo eta mujib hottakarider moddhe ekjon pashei bose achen samiya rohoman beshya kothakar,hate
ei janoyarke mere geche na keno,hate
ekhane mamunul hok bade oi magi soh sob nasotiko,hate
tore paile tor pichhon diya suna bore ditam,hate
ekta jaroj sontan mone hoyo,hate
madarchod,hate
mar khankir chheleke,hate
ek nambarer bhondo kulangagar majar pujari magi khur kuttar bacchatake khotom kora uchit,hate
mijan hoilo ekta shalar puto,hate
kutta baccha der glayo para diya mara lagbo,hate
sala bondo bejal achhe tor jinme,hate
notir pulare marar poojon,hate
ami hamoja huju apne oi shala tahei ke juta maen nali ami shamone paile shalake juta matam o shala tahei ek madachot shala,hate
oke dhore ene fasi deya hok haramir baccha,hate
onek bhai korechhen je lopake chudte chai tader ke bolob oke choude hol noshto kora jabe na bhai,hate
nastiker bacchaderke mone hocche thappr diye kan fatiye dei jaheler baccha jahelo,hate
shala ekta bhondo asto bondo,hate
esob kotha jara nobir briddho kotha bole tara munaphiker baccha tara musolmaner baccha na ede miladunnbi palon korte hobe ja na palon kore tara kapher tara munaphek,hate
tur maiya takole amare biya dicho tur maiya re niya ami nachomu bangla chudon dimu,hate
khanki magir bachara togre paile pathor maira khun kortam,hate
kanoki pola,hate
oi hala tui ki hujur,hate
oi harami majare majare gaja khay ebong magi baji kore gajar bebsha kore ekarne or ate gha lege chhe,hate
eita ekta kuttar baccha,hate
tora sotto khobor shunate na parle bujhobo je toder ma sukorer sathei songgm korayo tora oirkom mithyebadi hoyechho,hate
kuttar baccha gre rastay phalaya kopano dorkar,hate
ei kuttar bacchake mara phorj hoye geche sala jalemokuttayo jonmo dichhe beyadobore,hate
anolaik kora jon ki deoyanobagir pholoyar naki ki rokom brein ar ai oyash kore rakhche sala bhondo deoyanbagi kkari on tahosin bhai,hate
shishu bokta ane kun shalara,hate
pare na sura phateha bolte ora abar mamunul hoker bhul dhore halar nastik kotogula,hate
char kuttar bacchar mukhe kutta diya peshab korate hobe,hate
o magir puya tor mare kor,hate
ei shalar pola ihudir dalal tuit mone hoyo koran porte parchh na alemoder kharap bhabe dekhaso,hate
jader jonmo o rkter somossha tarai jaroj sontan ar tarai hol nastik era kopal pora durbhaga jatisomajer kito,hate
kukurer baccha tore ke upostapika dichhe tui nijei to ekta nastik,hate
tin kutta ar ek kutonni ojotha gheu gheu korche edesher shadhin hoyeche murti tangganor jonno noyo hindu muslim bouddho khrishthan ei banglay sobai shadhin,hate
ei kuttar baccha ke kothay pabo,hate
murgi kuttar baccha,hate
ei hala pagol bondu majar pojari,hate
kotoboro bokachoda hole egula bolear eder jara daoyat ba tader mahophil onushthan e jayo tara aro boro maper bokachoda,hate
dhur magi,hate
pura madar,hate
jonab ami ore hater kochhe paile ghori dhora minit chhera juta diya kosaiya martamoasole hete hura haglo,hate
shaikh mamunul hok saheb ke antrik dhonnobad eto dhoirjj niye shoytanoder sathe koran sunnah aloke kotha bolar jony ami thakle hoyto shalago juta pita kortamo,hate
madarchododer paile juta diye chudotam,hate
hahahahaha era manus namer kukur kukur er chaite balo salar bujhlam na manusher baba koyta hoyo ogo dekhi babar obab nai,hate
shala tui o to bal pakna,hate
ei shala bhondo tor chul to pith porjonto,hate
salar put tui bujoch kibolochhe tui bhonod,hate
shala tui bhondo pir kukur tui,hate
jibon mae shuru ekhon i gibot gaoya shuru sala beyadob,hate
torar mare chudi magir phuya,hate
kutta chara kichhu na,hate
bhai deoyan bagit asol bondo deoyan magir jonmer tik nai,hate
ei salai gaja khaichhe,hate
eikutotabachochadersatheilolamerkothabolekilabhoederjutarbarideyahokoage,hate
balopak na tui ki bujoch,hate
ei kuttar bacha ke kupiye kupiye mara hok,hate
kobira magir hola hera hura harailamu madarchodo,hate
deyanobagir maire chud,hate
kire tui ki tasonineson khankir polar moto kotha kos ken tore chuda hobe tui hala daile chaile khisuri kore pelosos sob,hate
oi shala tor nam ar thikana de ahomad shophi rejaul korim ar olipuri bhondo ke bolose tore,hate
sala bangla bujis januyarer baccha age puro oyaj ta sun tar por bolen oke,hate
kuttar bacchhara,hate
tor bouyer bhod chod jaiya,hate
nastiker bacchara kukurer cheyeo kharap,hate
ajahari magir pulare juta pita kora hok kar allar nobike ki ajahari magir pulayo dekhechhilo kokhono na ki allar nobir chhobi achhe or kache na ki kuran shoriphe kothay lekha achhe je nobir ghoton hisabe ajahari to asolei kapher,hate
tore pukki marb bhalo kore madar chod,hate
dekha jayo to tore bandr er moto hala kutta,hate
salara shoytan,hate
shala bal pakna,hate
kuttar baccha nastik,hate
oto ekta madar chodooke ar kon mahophile jeno dekha na jay tahole oke juta mara hobe,hate
jaira sala tui,hate
astagphirullaho kire tui thiki to bhondo pagli mathay diye namaj porle ek rakate sottr rakater sooyab paoya jayo eta jal hadiso ar tor e byapare kon dharona nei ei lok to thiki bolechhe asolei tui bhondo,hate
deyan bagi kuttar baccha,hate
ei bhondo hujurke dhore juta peta kora houk shala ihudi kristaner dalal,hate
kukur er bachochare maro magir phuri chutomaranir puri,hate
eirkom bhi di o ba modeling ba adorsho sorup sthapon korayo bangladesher somajota demona o khanki magite bhore geche lokkho lokkho koti koti demona o khanki magi roj roj toiri hocche bhalo meyederkeo era sob dik diye paka khanokite toiri kore amar bhuribhuri obhiggota achhe ami onek onek dekhechi amake bhugiye bhugiye tochhonochh kore borbad kore diyechhe ek khanki magi era nijera hajar janke diye chudiye berabe guder grto kuyor moto banabe sei kuyote bhatarke dubiye dubiye marbe shali khankir jato tara hajar bhatar kore berabe onyer bacchar jonmo diye bhatarke diye boro korabe prbasi chelera kot koshto kore jiboner jhuki niye duto taka rojogar kore baccha manush kore tao abar onyo loker bacchake e somosto bhuktbhugi chelera chhotokhato ektu kichhu korle duniyate agun lege jay ar magider belay keu kichhu bolobe na demona o magira e somosto magideri dalali kore kon somoye bhalo chhelerao ei magider dalali kore bhalo cheleder kobe chokh khulobe ke jane,hate
kire jhaora magir pola tor bou to malota kothino ghonta chodole koto taka,hate
mohila take magi magi lage,hate
jutadi pithai shalare,hate
ekta imam er samone ei mohila mathay ghumota deyni er thikei bujhajayo ei mohilar choritro bhejal ei mohila ekta jaroj sontan,hate
tik tok shara kore era haramzada,hate
shala kukur ta,hate
aro bhidio banan bhai shalara bondo,hate
sob gulo jaroj,hate
or fasi hooya uchit jodi fasi hoyo ta hol or kon khoma nei o ekta kukurer baccha,hate
tui kuttar mukhe maolana shophi saheber nam manay na,hate
hujur sotti kotha bolechen oi sala gajakhur,hate
bhondo taheri majar pujari madarchod,hate
sala majar pujari,hate
jara ei rosting bhidite anolaik baton klik koreche tara nishyo deoyan bagir murido amar kotha holo sara bocchor bujurgder theke jene esechh islamer kotha ar kothakar kon deoyan bagi ese notun hadis banacchhe seigulake manush kemone bishwas koreeigula ek nambarer bhondo pirjotosob abal muridoprttekotare dhore thabbraite mon chaitachhesobogulare mari deoyan bagir nam bhulai deya dorkarrag uthotechhe beyadober upor,hate
upostapika trkota besya noshta bakira perauner bngsodor trder sob guloke jon somukhye pasite juliye hotta kora jatir jonno moggnl,hate
shalader guli kore mara uchit,hate
deoyanbagi holo gaja khor magi khor deoyanbagi bhondo majar pujari muslim na,hate
dis like dichhe kon kuttar baccha re,hate
beyadober baccha taheri manolam kharap tor boro naki chhut beyadober baccho,hate
gan gailo chudomarani abar eta ke,hate
egulo sob holo kukurer baccha ora oder mayer pet theke ber hoyo nai era kukurer pet theke ber hoyeche,hate
khankir polare paile juta diya pidaitam,hate
nastik harmojadara,hate
ei salar bhondo hujurder gla jobai kore phela uchit,hate
shala murkho bhondr maik kere neya hok ki bhabe oyaj korte hobe tao janena oke juta pita kore ekan theke gar dakka diye ber kora hok sahojalaler sathe byyadobi kore murkho sahojalaler payer jutar dam o hobe na,hate
deoyanbagi ke keu mare na ken ei sala chudir bhai,hate
tor ta dekhei bujhajai tui bhondar ghorer bonda deoyan bhagir murid chagoler ghorer chagol,hate
dur shala,hate
era kuttar baccha,hate
bosen bosen shalare bash den,hate
kichhudiner bhitor binash hoye jabe madarchod ra sob holo hindur ch,hate
oi sala bhondo tuiboktbyo thik achhe,hate
lopa rohoman tor hasi to ekjon potita meyer hasi mot tor hasite allah pochhondo korbe na amader deshe alem somaj toke to bhalobase na tui ebhabe nijeke ki mone koris,hate
salake samonepel kete phelobo tor jodi dom thake tahole samone ese bol je majhare jayo haram salar las uthanar log pabini madarchod,hate
tui jaroj haram jada,hate
suyarer baccha ke juta kora dorkar,hate
ma gi ke ju ta mara uchit,hate
ei balpakna tuke oyaj korar parmison ke diyechhe tuit ekhonoo adob kaydai shikhichh nai tur ustad ba tur ma babayo ki tore adob kayda shikhayo nai beyadober baccha,hate
rupamagikeghoradhonodiyechudotehobetaholemagialololahokeniyekonokharapokomenokorbenaamimalosiyapobasi,hate
char magir baccha tora sobaito islami birodhi khankirpola,hate
chudir bhaiyere thaporaiya namachhona kere,hate
shalarai sudhu ekta arekotar goyar pichone bujhlam na jahanname jaba alemora age sadharon manush to gomora hoye jabe,hate
tin jonoi islamer shotru sangbadik tader theke beshi kotha bole era sobai kulangagar,hate
tin ta khankir magir puya,hate
kobir madar chod tor kopale shoni achhe,hate
khankimagi tor khaja baba allahor samone khuje pabi bhalo hoye ja khaja babar juta mari,hate
tore jodi kon din hater kache pai seidin tor kopale bohut dukkho achhe madarchoder baccha bhondo,hate
apnake onek dhonnobad bhidiota bananor jonno sob koyta bhonod kuttar bacha,hate
ei deoyainonar bacha tore tore kutota pida dimu,hate
juta mara dorkar chilo shalar pore majar pujari,hate
e jnowar er nam janina tobe sala bhondho e jnowar jotu milad nete chherechhe sob bhul,hate
ei hujurer kotha ekdom thik salar bondo pirer boirare gar dore ber kore deya holo na keno,hate
shala tahiri tor mar bhatar kota,hate
kuttar baccha jaroj tor upor khodar gjob porbe dekhobi allahor bichhar dhire dhire tui kurane juta rakholi khankir pola mathay tupi mukhe dari rakholi gjob porbe tor upor,hate
beyadop namobar oyan tui dui diner chhele bhalo monder ki bojos,hate
magir hot toima patemar jutar jug gta hochona,hate
deoyanobagir shorire muitadem sala madar ore juta na manusher khaoyano dorkar,hate
salar pola tore jodi ekhon ami kache petam tore lengta kore petatamo madar chor oyaj korte acchhis naki beposa korte acchhis khankir puto,hate
oi madar chod mone hoyo majar pujari o pir pujari bhag sotto kotha bhondo pirer chela,hate
kuttar baccha teder bichar allah bolben,hate
bhai abar montbyo korlamoei shala der juta maro ar amakeo maro karon ami ken dekhlam,hate
juta mar salagre,hate
deoyanbagi khankirpola jarjer sontan sorl musolmanderke kaje lagiye shoytaner akhora banaichhe khyangkos choto bhaira ei bhidiotir jony deoyanobagir gale juta maro tale tale,hate
tora hole jaruj sontan toder jommer thik nai madar chodo,hate
tui ekta bichanay ei jonyit manusher dush bicharchh bichanay,hate
e ki bokta na ki shala ki oyaj upload dili toder ke juta pida korar torkar,hate
shalare juta mar bhondo pir sahebo,hate
nastik bacche,hate
tri kuttar bacha torika boloda halay bole,hate
nastiker jonmer thik nai ei joner rkte bhajal achhe,hate
parle tar samone dolil niye bosen madarchod,hate
deoyan bagi kuttar baccha jnowar,hate
ei shala shuyorer bachochhader jonmer thik nai,hate
ei potibindho tui chup kor ohabir kit nasok,hate
ei salar put tor number desalar put bhondo pir name kolonko madarir chhod,hate
deoyan bagi shoytan bap bhai,hate
bhai ei magi kothay thake,hate
kuttar baccha poyda hoichhos koyo din hoichheisolamer kon gyan achhe shala jaroj sontan sahos thakle phone de,hate
jara hujurder somalochona kore tara tader ma babar jaroj sontan,hate
khanki koysh betar sona mukhe loiya mukh et boro korli,hate
ei kuttar bacchara tora ki ihudi dhormo naki koyo bar bolchi modinar nam na neoyar jonno,hate
duru gaja kuttar chhaoyal,hate
bhondo kuttar bacchake juta pita kore tar pore fasi dao,hate
uposthapok belun eksidento er jonm,hate
bandrer baccha bhondo tor mayere bodolate chudamu,hate
tahari halar po,hate
juta peta kora dorkar sala bhondami korchhis ar bolochhis ami ma phatemar sami tuito ma phatemar jutar soman damonai sala,hate
age tomar putki khulochhe ni banchd,hate
sudu kuttar baccha bololam bakita jodi ture samone paitam tarpor bolotam,hate
bangladeshoe et shoytan kutayo teke asol nastik gula,hate
ei magi boro nasotik,hate
potita mohila tui tor mot meyer pir muphoti giyas uddin al taheri hujurer juta mochhar juggota gari mochhar juggota tor nai janis tui taheri hujurer kot jonopriyta brahmnobariyayo tar dake lokkho lokkho manush joro hoyo sahos thakle niche porichoy olpo kichhudiner moddhe bhidio bananor rejalto pabi takar meye tui,hate
taherir pachay gorom dim deya dorkar,hate
abobasire juta pita kor,hate
kon madarchoder bhidio upload koros shalar putera madarchodera bhidio banas killiga torai bhidio bhondo hujurer bhidio nach kirti taheri giyas uddin taheri,hate
haioyan kutta baccha,hate
tor mar hanoga khanki,hate
madarsud ohabi,hate
deoyanbagi ekta kuttar baccha,hate
madarchud pirer polarre jota mar amare lo,hate
jota diya tor mar otor babar kopale pitabi khankir bacha ra tor mago kuta diyaa chodabo,hate
ei notir putere juta baire,hate
juta mar salare,hate
nashtiker bacchara,hate
vondoder biruddhe bollei nastikder ga jwle uthe shalake juta peta kore ber kora dorkar chilo kot boro sahos hujurer mukhe mukhe torko koren,hate
oju chara bagichayo madari,hate
shala tui batpar,hate
deoyanobagir hogamarar shesh,hate
shala gajakhor rater ekta baje jodi tui oyaj koros tahole lok gulo phojor namaj kibhabe porbe tui proman hol tui de majar pujari,hate
bal pakon bacchare isotej theke lati diya nama,hate
haora magir jaura pola tor mare chudode koiram phalaphala ajke amar dinota bhala chodani magir pola bedhani magir pola koi gelire koi geli tor bodar bhitore gel amar sonar koli khanki magir pola tor mar bedakala tor mare chudode lage na bhala tor prtibondhir ammutare ami sudi tore kon shalay mukhostho oyaj shikhaichhe tui janos na gibot gaoya islamer drishtite ki koran hadis niye alochona kor shishu bokta kiyamoter lokkhno,hate
boro batpar to byata tui kon hadise achhe manusher biruddhe gibot gaoya ebong bodnam bola age nije lekhapora kore tader moton hoye tarpor tader biruddhe bolte asobi tor to byata ei cheyare bosar juggota ekhono hoyo nai,hate
shala luccha betir bonir dudh chhobi diya tui biddan sajote chasoshala lucchar baccha,hate
shalar put mukhe lagam diya kotha bol lojja kore na tor baper boyser ekjon dariyala alem ke galagal koros,hate
ei salarput holo magir dalal enayeto,hate
hayre murkher baccha tui to chagoler tin number baccha na khaiya nachhoch,hate
tai magi thai mao magi,hate
murgi kobirke juta diye pithano uchit shala ekta nastik kukurer baccha,hate
khankir bichar chai,hate
pachar bhitore ekta bash dhukiye diye heio heio korle bhalo lagto,hate
kiyamoter alamot babu tumi to onek chot tahiri hujur jei lingk e byato sekhane to tumi boloo dhorte parba na age boro hou tar por boylo beyadober grer beyadober baccha,hate
tin madarchud bosochhe ek magike niye,hate
madar sud,hate
bhonda magir dalal,hate
erai jongi,hate
esob khankir polader oyaje hujurer pashe bosayo ke,hate
salagu upore gjob porena keno,hate
mone hocche tui pora lekha sobar theke beshi kore phelochhis salar bhondo,hate
tui hole madarchut hujur,hate
jon nastik er jonno jon mominulohok ei jotoshoshtho ei golare pitanor dorkar,hate
hujur o bhondo jonogon abalo madharirsud,hate
ei madar chod ke icchha mote pitano hoyechhilo tar asthana narynognjo theke bhenge deya hoyechhilo amara oder pidaiya elaka chara korchhilam,hate
potita ra erkomi bole,hate
hay re luccha tui ekti poti ta,hate
khankir polare jota mar,hate
chenal oyala bhaike bolchi apnar mot onek boro bondo kutta haphijur er boyan shune aj pach oyakto namaji apni boro bhondo,hate
kuttar bacchake fasite julau tar pore oder pachhai agun dhoriye dao,hate
ta khankir baccha ar ekjon hol manush,hate
magir put re paile juta pita kortamodeoyan bagi khankir puto,hate
khangkir pola bokta tur jonmo eideshe na eidesh oli allahor desh tui olider birudwe kotha bolcho,hate
eikuttarbacchar shariya nastik jutar bari din,hate
tahari toke ki kichhu korche naki na tor ma sathe kichhu korche magir ghor magi tor mare chudi,hate
shala deoyanobagike chamora chhilla lobon ar morichogura shorire dola deya dorkar kukurer chhao ekta bhidioti bananor jonno onek dhonybado dorkar chilo take niye bhidio korar mejajotai kharap hoye gel tar hadis shuinna,hate
magir puya ture esteje anochhe ke abal chuda,hate
kuttar bacha,hate
taheri madarchud ei khankir puto,hate
e obhab hoye jayo sala batpar tore kot bar dulai korlo,hate
khankir polago dhoira juta diya pitaite hobe age pyat mota halare pyat phaira sob bhuri ber koira ogore jot gula murid achhe sobaire khaoyaite hobe,hate
shala batpar,hate
sara jibon shunolam chul choto rakha sunnat ei haram jada bole chul lomba kora sunnt hala shalar puto,hate
kuttar bochochara pogl,hate
taheri ekta ram chagol,hate
shalar ajokal islamer oyaj niyao iutiube bebsha shuru kore diyechhe eder moto batpar kichhu loko shuno chandu beshi dealer kamanor asha koirona pore kintu public jokhon an saboskraib kora shuru korbe tokhon sob batopari shesh hoye jabe tai bolchi hedlain diye giye bujhe shune dio murkher moto diona,hate
nastik ke juta pita kore bangladesh theke bitarit kora hok,hate
tura baichod,hate
oi madar chodera bharot goru kurbani nishiddo korchilo murgi churer baccha khankir pola ar samiya tui khanki islamer kichhu jana achhe tor tor mangger bhitore sorasori jodi rd dukano hoyo tao amar mone shanti asobona karon tora kake opoman korchhis eshiya mohadesher sakhul hadis holen unar baba,hate
labh iu bhaiya ei chutmarani polare onek agei chuda uchit chilo dhonnobad pashe achi sobsomoy,hate
shalar majar pujari bedatir gushti,hate
rendir baccha bhidio banabi na,hate
hala abaler abal lekhochheki ar dekhalo ki januyar,hate
ekjon hujurke bolar sujogi dicchhe na oi charjon kuttar baccha,hate
tor youtubr chanele muti chagol kothakar,hate
ite siur mod kheye matal hoye ultopalta kotha boleetoi matal je kotha bolar jor pacchhe nakuttar baccha,hate
ei khankir pula tor cheneler maire chudi tui ki chinis,hate
vondoder dhore jobai kor llangta kore pachay alokatora laga kala kuttar ghu khaoyao chhera jutar mala glayo poriye kilomitar ghurao ador kore kacha goborer toiri rsogolla khaoyao eder jobai kora uchit murkho goru chagol chara eder kache keu jayo na e sob bhondo murkhra pare na emon kaj jogte nai eder akhoragulo agun diye jwaliye deya uchit,hate
dur salarput sala islam bujoch ni,hate
charte kutta ekta manushke dhorechhe kuttar gheu gheu shobdo te manusher shobdo kkhin hoye ashche,hate
oi khankir pola ki bhidio,hate
tui koyo baper jor mila harmojada bhuje sune kotha boliso bhidioti dilet kor pura oyaj suno biyadobo,hate
rakh tor bhidio sala abal,hate
tor mot kuttar kotha na shunai bhalo,hate
ei jaroj magi tui tor babar sathe sex kor,hate
sob guli chagoler tin number baccha ahole khobish salara bhonder dol erai prkorit shoytan,hate
madarchod tui kake bhondo boliso tui nijei ekta bhondo,hate
mithyabadi shoytan banoyat kotha bole sadharon sorl manushoguloke dhoka dicchho mone rekho oallahor dorbare darate hobe,hate
tali ei jaygata hoise ei halar oi jaygata,hate
bhai minit dekhar por ar dekhte parlam na matha gorom hoiya geche monechayo galidei deoyan magire matha thonda hoile bakita dekhobo,hate
he allah ei nastik meyetake tumi hedayet koro,hate
tor mare chudi madarchud tor boys kot tui bujhis ki tor bal othochhe ni khanokhir pula tore ki gibot korar jonno anochhe tui nijere bokta bhabochh ki kore tui loker chuda,hate
ore juta pita korar dorkar chilo sala bhondo,hate
batpar khankir pula,hate
ei kutta oder dalal,hate
nastiker mare chudi nastik khankir pulara ogo jutadiya bairan dorkar khankirr pulago pailam na samnp paile job ditam,hate
are sali tui ki janis taherir bhitore ki achhe sali tui to islamer name kolonko,hate
ei midiyar kuttar baccha jaroj kulangagar tui sob alemoder dui ek sekender kotha kete sobaike bhondo banali tui ki pheresta,hate
ei khankir pola murgi kobirke keno tv te ana hoyo,hate
eta ekta kuttar baccha er chamcha o onek manush kichhu bolte parena er chamochader bhoye bhai apni ei bhabe chaliye jan manush ei kuttar somparke socheton hote parbe,hate
edi holo kuttar bacha,hate
tor mare ar tor boner biye kor khankir pola bangladesh ase bol e kotha gulo,hate
ajahari abehala bonod abujaher ihudir nachhara ibolis soitaner dalal,hate
ei bokachoda ekhane taherir ki achhe,hate
murkho shalara nastiker bacchara hujurke to kotha bolar sujogi deya hocche na ar janina ei nastik ki dhormo palon kore kon dhormo byapare tader kon aidiya nai ami oikhane uposthit thakle shahoriya kobir ke ghushi mar tam,hate
ei kulanggarer baccha haphijur rohoman hujur to khoda dabi kore nai tui mittha lekholi ken beishyar magir pola tore paile bujhai ditam kon jayga aghat dili,hate
tora kuraaner ki bujho munaphek deoyan bagi kuoar bacchara,hate
magir pola gaja kha tui tui to kiyamoter alamoto,hate
arek magi phone kore bole se naki hojje giyechhil dekhe eseche loker machh ar kina ki bikri korche ei bishoye proshno koreche moulanake aponarai bolen magi ki hojjer niyte giyechhil,hate
ei kuttar baccha tui ki olipurike chinis jake bhidite olipuri bolochhis se ki olipuri beta chagol,hate
hapijur rohoman bonod halar poute bedoyati anotaji anotaji kotha bole chinota korena je ekhane alolahor ohi ki achhe na nai,hate
tumi ki manush na ki na kutta doya kori tor iotibh er upor tada porko,hate
kire pagol tui nijei bhonoth,hate
kuttar baccha tui abbasi ke niye emon korli ken,hate
taheri te pagol taheri te chagol,hate
samone kotogulo pagol chagol niya shalar putera korlo e janoyarer baccha hoje giye manush nyara kore eta ki abujeheler na allah rasuler,hate
madar chude koi achhe,hate
madarchoder baccha,hate
bhaiya apnar youtubr chanele jot bhidio apni posto koren segulo ami sobogulai dekhi asole apnar bhidiogulo amar khub bhalo lage ekhono je deoyanbagi niye kichhu bolechen na ke egulo domon korbe bolen cholen amra ekoi sathe mile deoyanbagi kuttar baccha ke hotta korar kon porikolpna nei ei kuttar bacchake hotta korlo hoytoba allah taala amaderke jannat dite pare jibone to onek guli korche na hoyo ei kuttar bacchake hotta kore aro guna korbo tao ebhabe islamke noshto hote debo na amar sathe ke ke achen bolen,hate
kire admin tur chokh kan ki kana jarjer baccha toder jonmo thik nai,hate
toder ar ki bole gali dibo tora to emonii jaroj sontan toder kopale hedayet achhe ki na allahoi bhalo janen,hate
kutar bachare maira lamu,hate
khankir pula tor bap thik achhe na ki sonodeh achhe age bap thik koris tar por haphijur bhul doris khankir chhele,hate
nastik ker baccha allah apne amader hujuke kobul koren amin,hate
kuttar bacchara parle toder porichoy de,hate
ei khankir pola tui jaroj sontan,hate
ei magi tor chehera dekha amra dekhotam tahiri bouu sundur tate tor jolon hoyo kein tui tahiri sathe bibar kotha chhilonikiei bhidiyo koyra kot lakh kamoyli mone hoyo tui kono ohabi dalaler meye tui tor moton ar koyo jonei barhoychhe chhunni alem der birudhe ei bhidiyo dekhiya shodu ohabi sub khushi hoybo,hate
sob pagol,hate
tomar kon balotayo khoma korbe na tui hala to bhondo,hate
tor mot kutta ekta beyadobohadise bolechhe kiar bolode bole kichagol kothakar,hate
kuttar baccha nastiker baccha nastik tuder juta pitha kor dorkar,hate
bejomma deoyan bagi,hate
chudonar po khankir nati tui kapher manusher eman noshto korchh keno haphijur rahoman siddikir somporke kono baje kotha bolobina jodi bolos tahole dhongsho hobibujhe shune taitel dichh gadhar dolotaitel chenjo korkiyamot torai oanotechhot tene,hate
deoyanobagike jibit obostayo chitayo tule puraleo amar gar jhal mitobe na or shasti tateo hobe na amar mone hoyo je matite oi salar kuttar bacchar dabhon kora hobe ghrina kore or dike takiye dekhobe na ki bolen bhaiyera plij ekta like ar apnar mullban comment dwara apnar motamot pesh koruno,hate
ekhon ghum theke utholam tai gali deoyar kon mud nei na hole taheri naphorman ke gali ditam ek janoyarer baccha dui kuttar baccha tin bainchod madarchod khankir pola,hate
abe halay koyo ki mijan nai ekta bokta ar tui ekta iutiubar tora duniyate khali bhondo chinoli munaphik chinoli na,hate
taheri desh chhar tur jatere chhodi madare baccha,hate
hayre oyabir baccha ekhane opomanito kothay holo asole tora hoyli ejider bngsh dor nahoyo ihudider dalal sala admin,hate
besosa magi loti sinal toke suyor diye choda uchit loti siyor khanki magi tor bhuda chhire deya uchit loti khanki saoya chuda besosa magi loti khanki sinal si thu thu thu thu thu thu thu sala magi,hate
khankir polara sob ek sathe hujur ke inosalto korche,hate
bhondo ajari,hate
kire bokachoda toke ki pagol kutta kamor dichhe naki bolochhira jikir na kore selun dokan khul taoto bhalo dhandha korbi,hate
esob kukurer baccha der jutar mala podiye deo,hate
ei char lokoke juta maro kuttar bachochara juta maro char joner mukhe,hate
taheri mone kore kot boro bokta jani ei shala kon manusher jat na abar mijanur rohoman ajhari ke kapher shala tui boro kapher tor mot taheri tor mot taherike juta pita koira ei bangladesh theke bar kora dorkar taherike sobai amra ei kajota korle mone hoyo bhalo hoyo karon amader majhe erokom bokta amader dorkar nai manusher sathe kotha bole kibhabe ekoi bhonggimayo ki kore ki phajil esob manush deikha abar kibhabe egula dekhe amito nijeo bhabte parina abar bole ami esob bolle ki amar gunah hobe shala taheri tui morle,hate
m jahanam pabe deoyanomagi abal,hate
nastik er baccha salara,hate
khankir polago kutotayo pondaya jormo dichhe,hate
magir pulara taherir biruddhe kharap bidio korch ken salara malaun islamer soporke ki janoch tora basotad er dol,hate
rabbul alamin nijei chintit shala ki ganja khaiya tal hoise naki tal khaiya ganja hoise,hate
sala kuoar bacha,hate
deoyanbagi ekta shuyr er chheye kharaph,hate
ekhane dekhlam koyek ta ramochhagler bacchara magir bacchara soytaner condom chhira dhonera kon bal na bujhe i hujur ke bhibinno bhabe gala gali koreche eder ke bholote chai tora i gattir choda shalara sob ohabi nastik haramojadar dolo,hate
taheri asolei bondo,hate
salar mukhe juta martui redi thak tor kopale bhog achhe,hate
shuyorer bacchara,hate
